Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 8.669994713272899e-07
n = 2	Runtime = 6.660011422354728e-07
n = 3	Runtime = 7.809976523276418e-07
n = 4	Runtime = 1.3880016922485083e-06
n = 5	Runtime = 2.6900015654973686e-06
n = 6	Runtime = 5.387999408412725e-06
n = 7	Runtime = 1.0825999197550118e-05
n = 8	Runtime = 2.120899807778187e-05
n = 9	Runtime = 4.2185998609056696e-05
n = 10	Runtime = 0.00011489200187497772
n = 11	Runtime = 0.00021733600078732707
n = 12	Runtime = 0.0003665980002551805
n = 13	Runtime = 0.0007446449999406468
n = 14	Runtime = 0.0013338280004973058
n = 15	Runtime = 0.002868728002795251


Total runtime of the test session is 0.00576709799861419 seconds
